name,year,country,genre,director,rating
Голая правда,2009,США,"мелодрама, комедия",Роберт Лукетич,7.6
Короче,2017,"США, Норвегия","фантастика, фэнтези, драма",Александр Пэйн,5.7
Дивергент,2014,США,"фантастика, детектив, боевик, мелодрама",Нил Бёргер,6.7
Охотники за привидениями: Наследники,2021,"США, Канада","фантастика, комедия, боевик, фэнтези",Джейсон Райтман,7.0
Ранго,2011,"США, Канада","мультфильм, драма, комедия, приключения, семейный, вестерн",Гор Вербински,7.2
Загадочная история Бенджамина Баттона,2008,США,"драма, фэнтези",Дэвид Финчер,8.1
Темный рыцарь: Возрождение легенды,2012,"Великобритания, США","фантастика, боевик, триллер, драма, криминал",Кристофер Нолан,8.1
Хочу замуж,2022,Россия,"комедия, мелодрама",Соня Карпунина,6.0
Новый Человек-паук: Высокое напряжение,2014,США,"фантастика, боевик, приключения",Марк Уэбб,6.7
Аквамен,2018,"США, Австралия","фантастика, фэнтези, боевик, приключения",Джеймс Ван,6.8
Побег из Шоушенка,1994,США,драма,Фрэнк Дарабонт,9.1
Константин: Повелитель тьмы,2005,"США, Германия","фэнтези, ужасы, боевик, детектив",Френсис Лоуренс,7.8
Король Лев,1994,США,"мультфильм, мюзикл, драма, приключения, семейный","Роджер Аллерс, Роб Минкофф",8.8
Многоэтажка,2022,Россия,"триллер, драма",Антон Маслов,7.0
День слепого Валентина,2022,Россия,"комедия, мелодрама",Александр Баршак,6.2
Пласт,2022,Россия,"драма, криминал",Станислав Сапачёв,5.9
Леди Баг и Супер-Кот: Пробуждение,2022,"США, Франция, Япония","мультфильм, мюзикл, фэнтези, боевик, мелодрама, комедия, приключения, семейный, детский",Джереми Заг,99%
Дитя человеческое,2006,"США, Великобритания, Япония","фантастика, боевик, триллер",Альфонсо Куарон,7.4
Клаус,2019,"Испания, Великобритания, США","мультфильм, семейный, комедия, приключения","Серхио Паблос, Карлос Мартинес Лопес",8.6
Мальчик-дельфин,2021,Россия,"мультфильм, приключения, фэнтези, комедия","Андрей Гоглев, Мохаммад Хейрандиш",4.7
Адский небоскреб,2001,Франция,комедия,Шарль Немес,6.2
